timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1749945600,Jun 15 2025 - 12:00am,complete,N/A,Al Ahly,Inter Miami,N/A,1,0.00,0.00,0.67,1.25,0,0,0,0,0,0,"","",4,10,1,0,4,0,0,1,2,2,11,14,8,6,3,8,11,10,45,55,0.00,0.00,1.50,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.26,3.60,2.08,1.15,1.49,2.31,3.80,1.43,2.62,N/A
1750003200,Jun 15 2025 - 4:00pm,complete,N/A,Bayern München,Auckland City,N/A,1,0.00,0.00,1.80,0.33,10,0,10,6,6,0,"21,20,6,18,45'3,45,67,84,89,73","",10,2,0,0,0,0,0,0,0,0,31,1,17,1,14,0,11,4,71,29,0.00,0.00,4.27,0.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1750014000,Jun 15 2025 - 7:00pm,complete,N/A,PSG,Atlético Madrid,N/A,1,0.00,0.00,2.14,2.00,4,0,4,2,2,0,"87,90'7,19,45'1","",4,2,2,0,6,1,1,1,3,4,16,5,11,1,5,4,7,8,74,26,0.00,0.00,2.10,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.50,3.50,1.22,1.82,3.00,5.25,1.62,2.20,N/A
1750024800,Jun 15 2025 - 10:00pm,complete,N/A,Palmeiras,Porto,N/A,1,0.00,0.00,1.60,0.67,0,0,0,0,0,0,"","",4,4,2,0,2,0,1,1,1,1,17,11,5,3,12,8,20,12,55,45,0.00,0.00,1.87,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,2.96,2.98,1.40,2.10,3.70,7.10,1.85,1.91,N/A
1750039200,Jun 16 2025 - 2:00am,complete,N/A,Botafogo,Seattle Sounders,N/A,1,0.00,0.00,1.50,0.00,2,1,3,2,2,0,"44,28","75",0,4,2,0,2,0,0,2,1,1,12,23,6,5,6,18,18,6,40,60,0.00,0.00,1.32,2.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.35,1.36,2.08,4.00,7.01,1.92,1.86,CenturyLink Field
1750100400,Jun 16 2025 - 7:00pm,complete,N/A,Chelsea,Los Angeles FC,N/A,1,0.00,0.00,2.57,0.33,2,0,2,1,1,0,"34,79","",7,1,3,0,2,0,2,1,0,2,17,7,6,4,11,3,11,11,65,35,0.00,0.00,1.99,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,7.00,10.50,1.09,1.35,1.93,2.93,1.86,1.98,Mercedes-Benz Stadium
1750111200,Jun 16 2025 - 10:00pm,complete,N/A,Boca Juniors,Benfica,N/A,1,0.00,0.00,0.67,1.75,2,2,4,3,2,1,"27,21","45'3,84",4,7,2,2,2,1,1,3,0,3,9,8,1,3,8,5,13,8,39,61,0.00,0.00,0.84,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.00,4.09,1.55,1.31,1.95,3.30,6.50,1.91,1.83,N/A
1750122000,Jun 17 2025 - 1:00am,complete,N/A,Flamengo,ES Tunis,N/A,1,0.00,0.00,1.75,1.00,2,0,2,1,1,0,"17,70","",3,3,1,0,4,0,0,1,2,2,11,6,4,2,7,4,20,19,69,31,0.00,0.00,1.29,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.10,10.00,1.33,2.13,3.55,7.50,2.44,1.50,Nissan Stadium
1750176000,Jun 17 2025 - 4:00pm,complete,N/A,Fluminense,Borussia Dortmund,N/A,1,0.00,0.00,1.83,2.00,0,0,0,0,0,0,"","",7,3,2,0,2,0,1,1,1,1,14,7,5,3,9,4,12,9,46,54,0.00,0.00,1.54,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,3.80,1.63,1.30,1.70,3.50,7.10,1.85,2.01,N/A
1750186800,Jun 17 2025 - 7:00pm,complete,N/A,River Plate,Urawa Reds,N/A,1,0.00,0.00,1.33,0.00,3,1,4,1,1,0,"12,73,48","58",1,1,4,0,2,0,1,3,1,1,13,9,5,6,8,3,12,14,59,41,0.00,0.00,1.36,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.33,6.75,1.27,1.80,2.85,5.00,1.88,1.93,CenturyLink Field
1750197600,Jun 17 2025 - 10:00pm,complete,N/A,Ulsan,Mamelodi Sundowns,N/A,1,0.00,0.00,0.00,1.33,0,1,1,1,0,1,"","36",9,5,1,0,1,0,0,1,0,1,9,14,3,2,6,12,7,2,32,68,0.00,0.00,1.11,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.10,2.20,1.43,2.25,4.33,8.00,1.91,1.85,N/A
1750208400,Jun 18 2025 - 1:00am,complete,N/A,Monterrey,Inter Milan,N/A,1,0.00,0.00,1.25,1.75,1,1,2,2,1,1,"25","42",4,6,1,0,3,0,1,0,0,3,11,15,1,2,10,13,6,10,38,62,0.00,0.00,0.87,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,4.20,1.58,1.23,1.76,2.65,5.25,1.75,2.06,N/A
1750262400,Jun 18 2025 - 4:00pm,complete,N/A,Manchester City,Wydad Casablanca,N/A,1,0.00,0.00,2.25,0.00,2,0,2,2,2,0,"42,2","",9,4,0,1,1,0,0,1,1,0,15,12,6,2,9,10,10,10,68,32,0.00,0.00,1.85,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,7.75,21.00,1.13,1.39,2.08,3.10,3.83,1.23,Nissan Stadium
1750273200,Jun 18 2025 - 7:00pm,complete,N/A,Real Madrid,Al Hilal,N/A,1,0.00,0.00,2.17,1.60,1,1,2,2,1,1,"34","41",5,6,1,0,3,0,1,0,0,3,19,13,7,2,12,11,9,10,52,48,0.00,0.00,2.19,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.85,7.60,1.05,1.29,1.75,2.70,1.50,2.62,N/A
1750284000,Jun 18 2025 - 10:00pm,complete,N/A,Pachuca,Salzburg,N/A,1,0.00,0.00,0.00,1.33,1,2,3,1,0,1,"56","42,76",7,2,1,0,0,0,0,1,0,0,17,10,6,5,11,5,12,9,50,50,0.00,0.00,1.72,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.62,3.52,2.64,1.18,1.63,2.38,3.80,1.52,2.55,N/A
1750294800,Jun 19 2025 - 1:00am,complete,N/A,Al Ain,Juventus,N/A,1,0.00,0.00,1.00,1.50,0,5,5,4,0,4,"","11,21,45'4,31,58",3,5,1,0,4,0,0,1,2,2,9,16,5,7,4,9,5,14,37,63,0.00,0.00,1.15,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,5.00,1.45,1.25,1.75,3.19,5.75,2.00,1.75,Audi Field
1750348800,Jun 19 2025 - 4:00pm,complete,N/A,Palmeiras,Al Ahly,N/A,2,1.00,1.00,1.60,0.67,2,0,2,0,0,0,"59,49","",6,3,4,0,3,0,2,2,2,1,11,8,1,2,10,6,16,14,35,65,1.87,1.50,0.86,0.77,0.00,0,0,0,0,0,0,0,0,0,8.00,3.00,1.60,3.80,6.20,1.33,1.95,3.50,7.00,2.11,1.70,N/A
1750359600,Jun 19 2025 - 7:00pm,complete,N/A,Inter Miami,Porto,N/A,2,1.00,1.00,1.25,0.67,2,1,3,1,0,1,"54,47","8",2,4,0,0,0,0,0,0,0,0,6,14,5,3,1,11,13,15,50,50,1.61,1.12,0.94,1.46,0.00,0,0,0,0,0,0,0,0,0,14.00,6.00,4.95,3.94,1.62,1.21,1.50,2.36,4.20,1.46,2.61,Mercedes-Benz Stadium
1750370400,Jun 19 2025 - 10:00pm,complete,N/A,Seattle Sounders,Atlético Madrid,N/A,2,0.00,0.00,0.00,2.00,1,3,4,1,0,1,"50","55,11,47",4,2,1,0,2,0,0,1,1,1,16,15,4,7,12,8,11,13,43,57,2.39,0.57,1.59,1.80,3.50,50,100,100,50,0,100,100,50,100,6.00,9.00,8.00,4.77,1.40,1.22,1.85,3.20,4.12,2.10,1.62,CenturyLink Field
1750381200,Jun 20 2025 - 1:00am,complete,N/A,PSG,Botafogo,N/A,2,3.00,3.00,2.14,1.50,0,1,1,1,0,1,"","36",10,1,0,0,2,0,0,0,0,2,16,4,2,4,14,0,11,15,75,25,2.10,1.32,1.87,0.62,3.50,50,100,100,50,0,100,100,50,100,4.00,4.00,1.27,6.00,8.50,1.12,1.48,2.26,3.56,1.81,1.82,N/A
