team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Seattle Sounders FC,Seattle Sounders,2025,USA,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,32,2,7,-5,9,6,3,1,1,5,2,-4,-1,134,180,90,39,36,45,0,0,0,2,1,1,1,1,0,1,1,0,14,10,4,3,1,2,44,36,60,46,23,23,9,4,5,37,19,18,21,15,6,0,0,0,4,2,2,-4,-2,-2,0,0,0,0,0,0,3,2,1,0,0,0,3,3,3,0.67,0.5,1,2.33,2.5,2,1.33,1,2,0,0,0,1.33,1,2,3,3,2,1,0,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,3,0,0,1,1,2,2,0,0,0,1,1,1,100,100,67,33,0,0,100,100,50,50,0,0,100,100,100,0,0,0,0,0,33,67,100,100,0,0,50,50,100,100,0,0,0,100,100,100,3,1,0,2,0,0,1,1,0,100,33,0,100,0,0,100,100,0,0,0,0,-16,0,0,0,67,50,100,33,50,0,33,50,0,0,0,0,0,0,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,4.67,5.00,4.00,1,0.5,2.00,33,33,33,33,33,33,33,0,1.56,1.15,2.39,1.74,1.95,1.32,100,0,0,0,0,1,0,0,1,0,0,1,1,1,2,1,1,0,0,0,0,0,100,100,100,0
BVB 09 Borussia Dortmund,Borussia Dortmund,2025,Germany,5,2,3,0,3,2,1,1,0,1,1,0,1,2,3,1.33,1,0,0,5,9,7,2,16,4,12,3,6,1,6,2,0,50,60,45,64,180,45,2,1,1,3,1,2,1,0,1,2,2,0,19,9,10,10,4,6,50,51,49,61,34,27,28,14,14,33,20,13,53,23,30,6,3,3,3,0,3,3,3,0,3,2,1,1,0,1,1,0,1,2,3,1.33,3.2,2,4,1.8,1.5,2,1.4,0.5,2,1.8,1.5,2,1.2,1.5,1,0.6,0,1,4,3,3,2,2,1,2,1,1,0,0,0,2,2,2,2,2,1,1,2,2,3,3,4,0,1,1,2,2,2,1,1,1,1,1,2,80,60,60,40,40,20,100,50,50,0,0,0,67,67,67,67,67,33,20,40,40,60,60,80,0,50,50,100,100,100,33,33,33,33,33,67,4,3,1,2,1,0,2,2,1,80,60,20,100,50,0,67,67,33,60,100,33,24,40,50,33,60,50,67,20,0,33,40,100,0,3,2,1,60,100,33,2,0,2,40,0,67,1,0,1,20,0,33,60,100,33,20,0,33,20,0,33,3.80,4.50,3.33,2,2,2.00,60,40,20,20,0,0,0,0,1.43,1.83,1.16,1.42,1.14,1.61,80,0,2,1,2,1,1,0,0,2,1,2,0,0,1,0,1,0,2,20,0,33,20,0,33,0
Paris Saint-Germain FC,PSG,2025,France,7,5,2,0,5,4,1,0,0,0,2,1,1,2.14,2.4,1.5,1,0,0,2,16,4,12,20,15,5,14,2,1,3,13,-1,39,32,90,158,450,60,5,4,1,0,0,0,2,1,1,5,4,1,36,24,12,13,8,5,67,66,69,102,79,23,47,34,13,55,45,10,69,48,21,10,9,1,4,1,3,6,8,-2,4,3,1,1,1,0,2,1,1,1.86,2,1.5,2.86,3,2.5,2.29,2.8,1,0.57,0.2,1.5,2,2,2,1.43,1.8,0.5,0.57,0.2,1.5,7,6,4,3,0,0,5,4,3,3,0,0,2,2,1,0,0,0,0,1,3,4,7,7,0,1,2,2,5,5,0,0,1,2,2,2,100,86,57,43,0,0,100,80,60,60,0,0,100,100,50,0,0,0,0,14,43,57,100,100,0,20,40,40,100,100,0,0,50,100,100,100,6,4,3,4,3,2,2,1,1,86,57,43,80,60,40,100,50,50,71,80,50,44,71,80,50,0,0,0,29,20,50,71,80,50,5,4,1,71,80,50,3,2,1,43,40,50,0,0,0,0,0,0,57,60,50,14,20,0,29,20,50,5.14,4.80,6.00,1.86,1.6,2.50,71,71,56,43,28,14,14,0,1.82,1.87,1.69,0.98,0.97,0.99,71,3,1,1,2,3,0,1,1,4,0,0,2,1,1,0,0,0,0,0,0,0,29,20,50,0
FC Porto,Porto,2025,Portugal,3,1,2,0,0,0,0,2,1,1,1,0,1,0.67,1,0.5,3,0,0,25,5,6,-1,11,8,3,4,1,4,2,0,-1,54,23,180,45,23,90,1,0,1,2,1,1,1,0,1,1,0,1,19,11,8,2,0,2,51,57,48,42,17,25,13,7,6,29,10,19,37,10,27,2,1,1,2,2,0,0,-1,1,1,0,1,1,0,1,1,1,0,1.33,0,2,3.67,8,1.5,1.67,4,0.5,2,4,1,1.33,3,0.5,0.67,1,0.5,0.67,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,2,2,2,67,67,67,33,33,33,100,100,100,100,100,100,50,50,50,0,0,0,33,33,33,67,67,67,0,0,0,0,0,0,50,50,50,100,100,100,2,1,1,1,1,1,1,0,0,67,33,33,100,100,100,50,0,0,0,0,0,20,33,0,50,67,100,50,33,0,50,33,0,50,2,0,2,67,0,100,1,0,1,33,0,50,1,1,0,33,100,0,33,0,50,33,0,50,33,100,0,6.33,11.00,4.00,0.67,0,1.00,67,67,33,33,33,33,33,33,1.52,1.97,1.29,1.79,2.56,1.41,167,1,0,1,0,1,1,0,0,1,0,1,0,0,2,2,1,0,0,67,100,50,33,0,50,33
Real Madrid CF,Real Madrid,2025,Spain,6,4,2,0,4,3,1,1,1,0,1,0,1,2.17,2.5,1.5,1,0,0,3,11,8,3,19,12,7,8,3,4,4,4,-1,49,45,60,68,90,45,2,1,1,3,3,0,1,0,1,5,4,1,32,21,11,9,7,2,50,54,44,86,63,23,35,29,6,51,34,17,51,38,13,7,5,2,4,1,3,3,4,-1,3,2,1,2,2,0,1,0,1,1.83,2,1.5,3.17,3,3.5,1.83,2,1.5,1.33,1,2,1.83,1.5,2.5,1.17,1.25,1,0.67,0.25,1.5,6,5,4,3,1,0,4,3,2,2,1,0,2,2,2,1,0,0,0,1,2,3,5,6,0,1,2,2,3,4,0,0,0,1,2,2,100,83,67,50,17,0,100,75,50,50,25,0,100,100,100,50,0,0,0,17,33,50,83,100,0,25,50,50,75,100,0,0,0,50,100,100,5,5,1,3,3,0,2,2,1,83,83,17,75,75,0,100,100,50,67,75,50,17,33,25,50,50,75,0,17,0,50,83,100,50,4,3,1,67,75,50,2,1,1,33,25,50,1,1,0,17,25,0,50,50,50,33,50,0,17,0,50,5.33,5.25,5.50,1.5,1.75,1.00,83,83,83,50,50,17,17,17,1.45,1.62,1.20,1.67,1.75,1.55,100,1,1,0,3,2,1,1,0,2,2,0,1,0,1,0,0,1,3,17,25,0,17,0,50,17
Juventus FC,Juventus,2025,Italy,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,13,11,7,4,18,12,6,6,5,6,1,0,4,33,30,36,51,30,180,1,0,1,2,2,0,1,0,1,3,2,1,15,6,9,6,2,4,48,43,53,36,14,22,14,5,9,22,9,13,45,26,19,7,3,4,3,3,0,4,0,4,2,1,1,1,0,1,1,1,0,1.75,1.5,2,4.5,6,3,2.75,3,2.5,1.75,3,0.5,2.5,3,2,1.75,1.5,2,0.75,1.5,0,4,3,3,3,3,1,2,2,2,2,2,1,2,1,1,1,1,0,0,1,1,1,1,3,0,0,0,0,0,1,0,1,1,1,1,2,100,75,75,75,75,25,100,100,100,100,100,50,100,50,50,50,50,0,0,25,25,25,25,75,0,0,0,0,0,50,0,50,50,50,50,100,3,3,3,2,2,2,1,1,1,75,75,75,100,100,100,50,50,50,50,50,50,-31,25,0,50,50,100,0,25,0,50,75,100,50,2,0,2,50,0,100,1,0,1,25,0,50,2,2,0,50,100,0,50,50,50,25,0,50,25,50,0,3.75,3.00,4.50,1.5,1,2.00,100,75,50,25,25,25,25,25,1.24,0.88,1.96,1.76,2.07,1.15,150,1,3,1,1,1,1,1,0,2,1,0,2,0,0,2,1,1,0,0,0,0,50,50,50,25
Manchester City FC,Manchester City,2025,England,4,3,1,0,3,2,1,0,0,0,1,1,0,2.25,2,3,1,0,0,7,16,6,10,22,15,7,11,5,4,2,7,3,23,25,18,60,68,45,2,2,0,2,1,1,0,0,0,4,3,1,43,37,6,6,6,0,72,70,77,90,66,24,43,32,11,47,34,13,47,38,9,8,6,2,1,0,1,7,6,1,4,3,1,0,0,0,0,0,0,3,3,3,5.5,5,7,4,3.67,5,1.5,1.33,2,2.25,2,3,2,2,2,0.25,0,1,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,75,75,75,75,100,100,67,67,67,67,100,100,100,100,100,100,0,0,25,25,25,25,0,0,33,33,33,33,0,0,0,0,0,0,4,3,2,3,2,1,1,1,1,100,75,50,100,67,33,100,100,100,75,67,100,2,50,67,0,50,33,100,0,0,0,100,100,100,3,3,0,75,100,0,0,0,0,0,0,0,1,0,1,25,0,100,100,100,100,0,0,0,0,0,0,10.75,12.33,6.00,1.5,2,0.00,100,75,75,75,50,50,50,25,2.88,2.96,2.61,0.98,1.10,0.60,125,4,0,2,0,2,2,1,2,2,0,1,0,0,1,1,0,0,1,0,0,0,25,33,0,25
FC Salzburg,Salzburg,2025,Austria,3,2,1,0,1,0,1,1,1,0,1,1,0,1.33,0.5,3,3,0,0,20,2,4,-2,6,3,3,0,2,3,1,-3,1,134,0,45,68,60,90,1,1,0,1,0,1,2,2,0,1,0,1,14,12,2,2,2,0,46,44,50,35,25,10,14,9,5,21,16,5,31,22,9,1,0,1,2,2,0,-1,-2,1,1,0,1,1,1,0,1,1,0,1.33,0.5,3,2,1.5,3,0.67,0,2,1.33,1.5,1,1,1,1,0.33,0,1,0.67,1,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,3,1,1,1,2,2,2,0,0,0,1,1,1,67,67,67,0,0,0,50,50,50,0,0,0,100,100,100,0,0,0,33,33,33,100,100,100,50,50,50,100,100,100,0,0,0,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,50,50,0,100,0,0,33,0,100,-57,33,50,0,33,0,100,67,100,0,33,0,100,2,1,1,67,50,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,33,50,0,33,50,0,4.67,6.00,2.00,0.67,1,0.00,100,100,100,67,67,33,33,33,1.32,1.40,1.16,1.70,1.69,1.72,67,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,33,50,0,33,50,0,33
Club Atlético de Madrid,Atlético Madrid,2025,Spain,3,1,2,0,2,1,1,0,0,0,1,0,1,2,3,1.5,3,0,0,14,4,5,-1,9,1,8,1,3,0,5,1,-2,68,90,60,54,0,36,1,1,0,1,0,1,1,0,1,2,1,1,13,9,4,9,0,9,48,61,42,44,24,20,13,5,8,31,19,12,32,11,21,1,0,1,2,0,2,-1,0,-1,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3,1,4,1.33,1,1.5,1.67,0,2.5,1,0,1.5,0.33,0,0.5,0.67,0,1,3,2,2,2,0,0,1,0,0,0,0,0,2,2,2,2,0,0,0,1,1,1,3,3,0,1,1,1,1,1,0,0,0,0,2,2,100,67,67,67,0,0,100,0,0,0,0,0,100,100,100,100,0,0,0,33,33,33,100,100,0,100,100,100,100,100,0,0,0,0,100,100,2,1,0,0,0,0,2,1,0,67,33,0,0,0,0,100,50,0,67,100,50,38,33,100,0,33,0,50,33,0,50,67,100,50,2,1,1,67,100,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,33,100,0,33,0,50,4.33,9.00,2.00,3,0,4.50,33,33,33,33,33,33,0,0,1.66,2.63,1.18,1.52,0.85,1.85,100,0,1,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,33,0,50,0
Chelsea FC,Chelsea,2025,England,7,2,5,0,6,2,4,0,0,0,1,0,1,2.57,3,2.4,2,0,0,1,17,5,12,22,5,17,5,12,0,5,5,7,37,36,38,127,0,90,4,2,2,3,0,3,0,0,0,6,2,4,43,10,33,19,7,12,57,50,61,112,27,85,45,11,34,67,16,51,100,26,74,9,4,5,0,0,0,9,4,5,6,2,4,1,0,1,0,0,0,2.71,3,2.6,3.14,2.5,3.4,2.43,2.5,2.4,0.71,0,1,1.29,2,1,1.29,2,1,0,0,0,7,7,5,2,1,0,2,2,1,0,0,0,5,5,4,2,1,0,0,0,2,5,6,7,0,0,1,2,2,2,0,0,1,3,4,5,100,100,71,29,14,0,100,100,50,0,0,0,100,100,80,40,20,0,0,0,29,71,86,100,0,0,50,100,100,100,0,0,20,60,80,100,6,2,1,2,1,1,4,1,0,86,29,14,100,50,50,80,20,0,86,100,80,52,57,100,40,43,0,60,0,0,0,86,100,80,7,2,5,100,100,100,1,0,1,14,0,20,0,0,0,0,0,0,86,100,80,14,0,20,0,0,0,6.14,5.00,6.60,2.71,3.5,2.40,86,71,43,43,43,43,28,0,1.81,1.63,1.88,1.04,1.09,1.02,57,0,3,2,1,3,1,1,1,2,0,0,0,0,0,1,2,0,2,0,0,0,14,0,20,0
